2025-06-06 13:13:51,241 - INFO - [Epoch 30/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:13:52,916 - INFO - [Epoch 31/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:13:54,509 - INFO - [Epoch 32/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:13:56,199 - INFO - [Epoch 33/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:13:57,784 - INFO - [Epoch 34/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:13:59,492 - INFO - [Epoch 35/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:01,106 - INFO - [Epoch 36/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:02,764 - INFO - [Epoch 37/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:04,402 - INFO - [Epoch 38/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:06,116 - INFO - [Epoch 39/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:07,759 - INFO - [Epoch 40/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:09,475 - INFO - [Epoch 41/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
