2025-06-06 13:14:40,908 - INFO - [Epoch 30/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:14:44,241 - INFO - [Epoch 31/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:14:47,463 - INFO - [Epoch 32/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:14:50,820 - INFO - [Epoch 33/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:14:54,142 - INFO - [Epoch 34/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:14:57,509 - INFO - [Epoch 35/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:00,810 - INFO - [Epoch 36/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:04,122 - INFO - [Epoch 37/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:07,515 - INFO - [Epoch 38/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:10,802 - INFO - [Epoch 39/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:14,106 - INFO - [Epoch 40/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:17,518 - INFO - [Epoch 41/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:20,823 - INFO - [Epoch 42/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:24,095 - INFO - [Epoch 43/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:27,344 - INFO - [Epoch 44/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:30,672 - INFO - [Epoch 45/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:33,972 - INFO - [Epoch 46/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:37,245 - INFO - [Epoch 47/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
