2025-06-06 13:13:52,267 - INFO - [Epoch 29/100] Dataset: CHASEDB_1 | Loss: 4.6924 | Acc: 0.9530 | F1: 0.6903 | IoU: 0.5271 | Recall: 0.8314 | Specificity: 0.9612 | 
2025-06-06 13:13:53,969 - INFO - [Epoch 30/100] Dataset: CHASEDB_1 | Loss: 4.5731 | Acc: 0.9616 | F1: 0.7190 | IoU: 0.5613 | Recall: 0.7788 | Specificity: 0.9739 | 
2025-06-06 13:13:55,787 - INFO - [Epoch 31/100] Dataset: CHASEDB_1 | Loss: 4.5060 | Acc: 0.9498 | F1: 0.6799 | IoU: 0.5150 | Recall: 0.8452 | Specificity: 0.9569 | 
2025-06-06 13:13:57,497 - INFO - [Epoch 32/100] Dataset: CHASEDB_1 | Loss: 4.6507 | Acc: 0.9612 | F1: 0.7174 | IoU: 0.5594 | Recall: 0.7813 | Specificity: 0.9733 | 
2025-06-06 13:13:59,261 - INFO - [Epoch 33/100] Dataset: CHASEDB_1 | Loss: 4.5770 | Acc: 0.9618 | F1: 0.7201 | IoU: 0.5626 | Recall: 0.7788 | Specificity: 0.9741 | 
2025-06-06 13:14:01,036 - INFO - [Epoch 34/100] Dataset: CHASEDB_1 | Loss: 4.4912 | Acc: 0.9631 | F1: 0.7273 | IoU: 0.5714 | Recall: 0.7802 | Specificity: 0.9754 | 
2025-06-06 13:14:02,843 - INFO - [Epoch 35/100] Dataset: CHASEDB_1 | Loss: 4.2387 | Acc: 0.9605 | F1: 0.7261 | IoU: 0.5700 | Recall: 0.8305 | Specificity: 0.9692 | 
2025-06-06 13:14:04,562 - INFO - [Epoch 36/100] Dataset: CHASEDB_1 | Loss: 4.1186 | Acc: 0.9656 | F1: 0.7436 | IoU: 0.5918 | Recall: 0.7920 | Specificity: 0.9772 | 
2025-06-06 13:14:06,383 - INFO - [Epoch 37/100] Dataset: CHASEDB_1 | Loss: 4.0028 | Acc: 0.9615 | F1: 0.7332 | IoU: 0.5788 | Recall: 0.8384 | Specificity: 0.9698 | 
2025-06-06 13:14:08,128 - INFO - [Epoch 38/100] Dataset: CHASEDB_1 | Loss: 3.9687 | Acc: 0.9637 | F1: 0.7408 | IoU: 0.5883 | Recall: 0.8238 | Specificity: 0.9731 | 
